id,review,label,prediction
source_0_000011,"Even after all years still holds up well. After usual schtick, Jerry gets ring stuck him forcing Tom try get off him before his owner returns. should interesting task proved tough strange ordeal. Dogs, gangster mice, stray cats want piece duo. All ring. Will able work together get off time, will end up fighting each other? animation's great, slapstick's funny, story's decent. There're few heartfelt moments between duo slow down allow viewer catch breath as well enjoy scenes they're not fighting each other. If like Tom Jerry, check movie out. This's movie kids adult will surely enjoy.",positive,positive
source_0_000012,"got see Rochester International Film Festival (Rochester, NY.) film shot rich, warm color saturation made stand out festival. Although plot just little simple (even short film) writer/director Anna Condo's acting superb. She plays role perfectly, utilizing silence as well as dialog. didn't notice this, apparently couple party goers also figures candlestick . now see again.",positive,positive
source_0_000013,"also saw film Sydney Australian several times late nineteen sixties early seventies. Very scary Moody great soundtrack . martin landau skeptical paranormal investigator there twist tourist scam going wrong .and tragic death mistaken supernatural identity.the scene ""ghost"" revealed super scary original most favorite ghost story films like ""lets scare Jessica death"" ""ugetsu"" ""the uninvited"" ""13 gantry row"" ""carnival souls"" ""The shining if there ghost can found want copy too",positive,positive
source_0_000014,"I've seen ""My Own Private Idaho"", ""Finding Forrester"" ""Good Will Hunting"" Gus Van Sant all fairly impressive now am very eager watch Palme D'Or winner ""Elephant"", especially after initial screening ""Gerry"" last night tops all Van Sant flicks I've seen date. engaging effort from Gus, outstanding career highlight performances main actors Casey Affleck Matt Damon. can see why people saying some shots ""too long"" other comments like ""I fell asleep"", however love style cinema reminded lot spectacular effort from Kitano ""Dolls"". Minimal, hypnotic, great shots throughout. camera trickery highlighted varying depth field shots giving deluded sense fatigue, plus ongoing buzzing sound intensifies sun throughout evolving journey, similar buzzing lights No's ""Irrversible"". main point want bring up film very well structured scripted time covers. It's realistic well balanced regular events. However if comfort zone sits around 'Hollywood standard' there's camera shoot every scene second cuts between shots suspenseful default score keep 'on seat', then you'll pleasantly appalled 'real' rendition devastating true story. 8/10",positive,positive
source_0_000015,can't find redeeming thing about movie. Other than Helen Mirren acting horrible. nude scenes unnecessary. realize shortly after war Karen no backbone. realize her need passion really? smart woman. Use boys entertainment don't love them. Why she keep up friendship disgusting Contessa? If like kind relationship film think American Gigolo much better.,negative,negative
source_0_000016,"Raffle god-awful film. It's fascinating watch, though. Simply because can't believe anyone would make movie like this. It's about two dishwater-dull guys want make some money putting contest find most beautiful woman world. plot potential comedy laced some smut - fails miserably both counts. thing highly irritating throughout film actors always laughing big smiles faces there nothing funny going on. I'm not sure if that's because realize stupid film because director trying use as moving laugh track. If laugh track case, then doesn't work. If you're mood viewing some T & A, steer clear gem. There precious little it. Considering quality picture, you'd think they'd pepper female flesh. screenplay seems like dubbed fit mouth movements actors instead suiting film. cheese film constant. There scarcely moment wasn't close yakking. Mark Hammill small part debacle. Fortunately, heard he cashed recent Star Wars films, he probably won't part project like again. If feeling masochistic want show film students not make movie, check out.",negative,negative
source_0_000017,"Good family movie.includes domestic violence--though not graphically--against people animals, make cut above some animal comedies. guess sometimes animals smarter than humans..we just too proud admit it. But, worthwhile watch.you will ""boo"" villains( some whom, ironically, morph into heroes before end), root good guys.and fairly well works itself out end. lot human actors prefer not work animal actors because animals steal scenes. dog--or several dogs--having day, bit romp, joyously as well as tragically. Mostly kids, worthwhile watching.",positive,positive
source_0_000018,"There saying 'what goes up must come down.'When life going good some stage will go bad. main characters lamb bling boy farmer father opposite. many bad things happen life go up? Filmed Emma Freeman minute short film explores lot themes, such as friendship, betrayal l guilt. Set Australian desert time drought, dilemmas cure father blind boy realise boy's pet lamb last living creature farm. risk will father make keep him his son alive? visual images capturing. dull,dark colours inside house show poor add too emotion. mood hopelessness, endless days filled poverty. music also very effective. makes scene very emotional hard watch. There very effective crescendo film. talented camerawork brings into film, helping feel like you're characters there. angle camerawork very impressive close - ups give insight into lives, father stressed boy sad very happy he his lamb. other hand,the performance two actors very disappointing. Even though short film think some scenes could extended. wonder won award tropfest 2002. Overall, 'Lamb' very good short film excellent visuals, amazing sound track massive let down performance. give 'Lamb' stars.",neutral,neutral
source_0_000019,"High School Teacher romantic drama film directed Ken Yoshida. film stars Toshiaki Karasawa, Kyko Tyama, Keiko Oginome Anju Suzuki. Champion rugby player strong arms opponent player also his best friend push results opponent going coma, riddled guilt he becomes physical education teacher small town he encounters student school battling from her loneliness, teacher gets attracted his student despite knowing relation no future. film good plot below average execution. film great potential tragic love story slow execution plays spoilsport, despite all drawbacks film will watchable. Acting film good Toshiaki Karasawa, Kyko Tyama both very impressive respective roles. Screenplay film good although it's slow may distract some viewers. Climax film tragic. Can watched once.",neutral,neutral
source_0_000020,"last ""Entertainment"" installment offers few different aspects first two ""That's Entertainment!"" packages didn't have, such as some song-dance routines never made screen (and should have) behind-the-scenes look cameramen filming particular number. latter interesting see as filmed Eleanor Powell dance (""Lady Good"") also interesting see some stars early '90s made, as host certain segments 113-minute tribute. am referring June Allyson, Cyd Charisse, Lena Horne, Howard Keel, Gene Kelly, Ann Miller, Debbie Reynolds, Mickey Rooney Esther Williams. I'd say person most looked lot like much younger Horne. also appreciated fact showed quite bit numbers widescreen format, something never saw viewing great musicals VHS. also see very early edition ""Singin Rain,"" likes Jack Benny Joan Crawford. Overall, worthy edition ""That's Entertainment!"" package.",positive,positive
source_0_000021,"nice spooky story about woman terrified buried alive even telephone installed crypt. As credits roll up movie ""The Ghost Sierra de Cobre"" only person picture next credit Martin Landau as Nelson Orion. production, spooky music beginning. Naturally, black white anamorphic, square screen. Kino Lorber Studio Classics dedicated bringing best Hollywood's successes, critical commercial. film produced Joseph Stephano, might recognize him from ""Outer Limits"" series movie gets spookier as goes on. newly married woman finds her blind husband alone as his regular servants disappeared replaced spooky housekeeper. guessed her husband gets calls telephone from his dead mother's crypt. Calling architect (Martin Landau) works as spook detector side solve mystery. there real Spooks hoax? Will somebody die worse? pacing extremely slow there lot filler, mean lot filler. However, everybody excellent job acting. not realize cute Diane Baker acting as Vivia Mandore age. all standard characters series wrap up movie, suspect could television pilot rivaling Martin landau's series, ""Space: 1999"" Series 1975-1977 his wife Barbara Bain. people there one. Ghost Sierra de Cobre (Special Edition) Special Features: -Brand New 2K Restoration -Includes HAUNTED (Alternate Cut) -Audio Commentary Film Historian David J. Schow -Audio Commentary HAUNTED Film Historian Eric Grayson.",neutral,neutral
source_0_000022,"not movie take too seriously anyone expecting anything like serious crime drama would advised stay away. Here heroine, played Alexander Keith, jailed shooting scumbag gangster, beating up jailhouse bullies, before recruited government agent. price her head stricken mobster scene set her wipe out bad guys say nothing sorting out couple hillbilly types bar. film full comic-strip violence kind countless blows struck head without leaving mark. shadowy agent eccentric minder played veteran actress, certainly connoisseurs. may daft apart from clumsily executed redundant sex scene, never dull.",neutral,negative
source_0_000023,"pretty pleasant film about tendency polygamy. story, two boys fall love same girl all three connected deep friendship. However boy conquers girl's heart far from faithful . plot arises questions about truth love friendship, much people capable stand love's sake. found funny story set Romagna - beautiful region Italy people enjoy lives as far as possible from current stereotype macho-jealous-possessive Italian man. actors all very young, makes plot more credible. Martina Stella actress brilliant future waiting her Cesare Cremonini, her boy-friend film, well-appreciated pop singer, Romagnolo man perfect role ;-)",positive,positive
source_0_000024,"Eccentric Frank Carlyle owned hardware store small town Steeple Falls, prides itself profits from Halloween traditions. Frank's widowed son Richard grudgingly returns from Boston his own children, including brilliant Ian bratty Claire, settle estate. Ian discovers Grandpa's house indeed haunted, not just - as legend - Zachariah Kull, burned stake. effects like ""Hi?!?!?!?"", movie cute, love small town urban legends, good bad ghosts, charismatic kids/teens, happy family together, ghost soundtrack. Everything cute myth, full adventure silly jokes, colorful, funny fluffy.",positive,positive
source_0_000025,"can't believe some positive reviews movie. dialog pretentious, pristine unnatural. characters: likable. just don't buy anything say do. writing all around. movie wants Rushmore Juno something like just falls flat face. needless movie adds NOTHING film. Most all, it's just not funny. clever. all. like Ben Lee's music find sad unfortunate he wasted his time unoriginal lame movie.",negative,negative
source_0_000026,Whilst night-shift happened catch durge Sky movies. All can say after about half wished center fire. know it's movie low budget thats no excuse making film made want scoop eyeballs out rusty teaspoon. Avoid all costs.,negative,negative
source_0_000027,"Scarcely hour long, treatment Denmark Vesey's failed anti-enslavement uprising Charleston, South Carolina masterful bit historically-informed character work. cross-section free enslaved Blacks, brought three-dimensional life legends like Kotto, Little, Peters, show-stealing Casey Fargas, no time waste intellectual emotional assault circumstances post-Haitian Revolution Charleston. perspectives diverse complex perfectly clear, same true perverse world inhabit, all conveyed screenwriter William Hauptman confidence knows material deeply enough explain simply. Not all hurt made-for-TV budget, finely-distilled example history made immediate.",positive,positive
source_0_000028,"""Raising Flagg"" laid back, innocuous indie comedy about cantankerous, attention-seeking old codger (delightfully played Alan Arkin) his run-ins various members his family community. Preferring appreciative chuckle full-throated guffaw, writer/director Neil Miller gently ribs his small town folk without once resorting condescension caricature get laugh. Arkin nicely complemented cast familiar not-so-familiar faces (Austen Pendleton Richard Kine probably most recognizable lot), while Pacific Northwest setting provides scenic backdrop all shenanigans.",positive,positive
source_0_000029,"movie not good. thought movie might good story showing competition between skaters mutual attractions, etc. But, instead, film shows barely anything about skating, very little attractions between anyone except perhaps mother son, attractions could interesting, if pursued, briefly glossed over go nowhere. Take chances if want bored. would not recommend wasting time film.",negative,negative
source_0_000030,"I'm sad see movie relatively low rating. isn't perfect it's very decent enjoyable yarn. Get over fact portrays romanticised version internet never existed - made few years before became commercially viable, majority people didn't know thing about looked like. Ignore decent conspiracy thriller. Plus, portrayal internet infinitely more realistic than cartoonish contemporary 'Hackers', came out same year. tech isn't star show here, doesn't rely spectacle.",positive,positive
source_0_000031,"am totally awe movie would first like start thanking people NETFLIX making this, other similar, movies available viewers. performance cast created lot emotion me, especially liked Luca Zingaretti Nazi officers. BRAVO! power story Enrico Deagilo kept attention very end. could people cruel very own countrymen? No matter dire situation there always compassionate people, like Perlasca, willing step forward attempt correction situation no matter will cost them. am big believer study history believe don't doomed repeat it. music Ennio Morricone makes movie even more appealing. movie should required viewing all students world getting ready graduate from high school.",positive,positive
source_0_000032,"started watching movie, assumed some low budget movie used fill space second rate cable channel. off. wrong. movie hilarious, sweet, profound, gentle, realistic, thoughtful. Men, women, girls, boys alike would movie. journey two brothers (who couldn't more different from each other personality-wise) Russia find brides funny soft, gentle sort way. found didn't trivialize work stereotypes regarding process. flaw (if that) movie really from perspective two brothers (until very end). naive many ways, perspective highlights it. Such wonderful movie. Sometimes sad, not depressing way. More like ""ahh. that's just life"" kindasorta way. I'd actually go as far as say best movies I've seen months. No joke. (And watch lot movies). Watch movie.",positive,positive
source_0_000033,"While Indonesian teenagers now busy hanging out favorite coffee shop painting nails, Ada Apa Dengan Cinta brings out ""sastra Indonesia"" (Indonesian literature), especially poems, as center teenage love story make story out box writer shows many teenage problems such as friendship, love, family violence wrapped beautifully from beginning until end. Despite fact stars movie, such as Dian Sastrowardoyo as Cinta Nicholas Saputra as Rangga still rookie, showed good act. You'll later feel moral value teenage movie. Not just any other teen romance exploits sex desire, teen romance will touch heart. couldn't agree more if film best all time movie Indonesia.",positive,positive
source_0_000034,"found show better than modern episodes sesame street. I'm not kidding. Elmo now main character, characters like Big bird, cookie monster, grover, Oscar grouch all playing second fiddle, Play sesame feels like created people loved original sesame street didn't like way now. However, version show only meant appeal really young children, regardless, find educational age level, even topics older kids could learn something - segments show saw about Harry Monster's insides, Kermit frog (or Kermit De Frog, as he calls himself) Pointing out various parts. spin off worthy positive review, thats give it. out 10.",positive,positive
source_0_000035,"Turkish drama film produced 1983. decided watch it, sure would bad movie. fact, site downloaded time wrote movie uncensored, doubted porn movie from 80s. over, emotional. screenplay film, wonderful narration, belongs Nuri Sezer Nesli lgeen. directed Nesli lgeen. film tells story actor spent thirty years cinema industry become actor, come down extra. Ozcan Ozgur plays lead role. he, will say. only remember see photo. man made great game. He even lived some places. film, ordeals all veterans worked disappeared sector explained detail. man's life swamped, places he lives hangs out swamp. reason, there also dramas women he deals with. All actors actors played as supporting roles extras industry. definitely recommend movie. think actor played most painful leading role not given much value despite performance while he alive. There little sex no nudity movie.",positive,positive
source_0_000036,designers programmers made game true Indiana Jones trilogy. I've played many times love it. played entire trilogy game. game follows every scene from first three films left out few. It's still ok me. It's great music game. gave credit John Williams. final boss awesome. really want play experience childhood again.,positive,positive
source_0_000037,"Roger Fan decides get his penis enlarged. sets him off ""quest length,"" he makes plaster mold his penis, asks men women street about size, compares rubber phalluses sex shop, consults sex therapist, Chinese herb doctor, urologist, African shaman, finally surgeon. fantastically entertaining journey, film forces us ask ourselves why Americans obsessed appearances, exteriors, size? great film, very enjoyable educational.",positive,positive
source_0_000038,"original Solaris incredible movie held back low budget (seemingly) endless shots nothing establish mood. never held low budget against because it's incredible accomplished such small budget. shots nothing made entire movie least half hour longer than needed be, turned entire thing into agonizing crawl. (I'm not against shots like that, there just far, far too many, each go far longer than should. movie avoids both issues original film, while creating own form relationship drama. they've done eliminated much sci-fi aspect trippy atmosphere, replaced romance. first movie sci-fi film contained married couple, romance film sci-fi setting. Romance lazy, boring, invariably story that's told million times before. going from sci-fi romance always step wrong direction. Natascha McElhone also simply isn't good fit role. She plays role fine, it's just awkward fit. I'm probably bit biased because Natalya Bondarchuk well role, think it's valid own. think least part McElhone only seems three expressions, most her on-screen time weird looking-slightly-up smile she does.",negative,negative
source_0_000039,"""Remember Me"", based off Mary Higgins Clark's book same name, pretty good made-for-tv-movie. story young mother suffering from related death her young son, she blames herself for. main character, Menley, her husband, stay wonderful old house Eastern Seaboard, her husband grew up. Strange things begin happen house - Menley begins doubt her sanity, dangerous, especially since she alone most time her baby daughter Hannah. ""Remember Me"" good movie, better made-for-tv adaptations. enjoyed movie. If fan Mary Higgins Clark's novels, watch movie.",positive,positive
source_0_000040,"movie exquisitely beautiful film deeply moved me. music emotionally powerful, young actors deliver exceptional performances, capturing innocence young love authenticity sensitivity. film resonated own childhood experiences fleeting crushes unfulfilled affection. Now, as 30-year-old single man, often feel sense melancholy longing meaningful connection, having never dated any women admired. Watching ""Sonagi"" brought tears eyes, reminding past emotions moments rejection. As aspiring filmmaker, ""Sonagi"" inspires create film portrays innocence beauty young love.",positive,positive
source_0_000041,"am probably over critical most Australian movies, basically account cringe factor, ie,""Gees, they're not going show somewhere else, they."" Once while though, come across domestic gem, like ""Muriels Wedding"", ""The Dish"", ""The Castle"", ""Paperback Hero"", just love bits, seem put Australian idiom into some kind sense, love m. Well anyway, just found another add list.""Mr Reliable."" remember incident late sixties, Wally Mellish held his girlfriend/de facto, Beryl Muddle (Yes folks, real names) up hostage situation days, talk media long while. Anyway, lovely, funny, easy watch little movie well worth wasting couple hours life on. doubt very much whether Wally such likable idiot real life, Beryls legs probably didn't go all way ground like movie, good watch. can see various scrapes get into coming mile away, really only give whole thing sense inevitability. great snapshot mid sixties Australia, many respects. summer heat, cars, crowds, emerging hippy culture, xenophobia as regards ""new Australians"", black white television. Well worth look.",positive,positive
source_0_000042,"happened find movie accident doing search German shocker ""Nekromantik"" ebay. storyline sounded interesting enough elements ""Nekromantik"" ""Buio Omega"" other sick, twisted films. As far as am concerned, movie boring, zero atmosphere, decent acting, way artsy. story starts two lead characters (Joey Laura) walking through forest narration Edgar Allen Poe's Annabelle Lee. next scene see Laura her apartment take stumble dies after hitting her head (I am guessing since all off scene). Joey discovers her all much take he goes rode trip her corpse, staying random motels. There many times he hallucinating thinking about past all leads up his imminent self destruction. movie plays very slowly only minute film. Nonetheless, feels like hours. story goes nowhere leads up conclusion could guessed even before opening credits rolled through. acting decent, actors weren't given many lines work with. music sometimes good opera here there then would through some terrible alternative rock music just makes want gag takes away from movie. thing movie going all poetic narration. added something original movie, other than that, very disappointing. 4/10",negative,negative
source_0_000043,"film, Snub leaves his extremely tiny town go live his aunt, he doesn't even know. He arrives her house she's throwing party she doesn't want invite him inside.until she learns he owns oil well. Then she encourages him meet become smitten her daughter. However, Snub isn't interested vamp instead interested maid. due persistence, Snub finally agrees marry cousin--at point maid hatches plan expose ruse silent comedy chase ensues. isn't great comedy any stretch imagination, decent number laughs as well as few fall very flat (such as involving duck). While far from Pollard's best (IT'S GIFT), still watchable cute. And, unfortunately, it's made worse ill-fitting music just slapped onto short ""Old Time Comedy Classics: Volume 9"" DVD. Like almost all films, appropriateness music seemed irrelevant assembled collection.",neutral,neutral
source_0_000044,"First, plot. (No spoiler.) radio call-in show host repressed memory her parents' murder, things get scary man, convicted murder her testimony, gets out prison years later. think awful movie. ""thriller"" ending won't surprise you, plot twists silly top predictable. acting below average, except Chris Sarandon, his role not very challenging. Joan Van Ark screen almost every shot, I'm sorry say she just can not carry movie. watched through end only because she's very attractive great legs. director uses every contrived chance show off her legs.",negative,negative
source_0_000045,"Cardboard actioner without any charm. policeman (Busey) goes troubled country Latin American (great ""clich"") hunting wanted criminal (Rivers) things doesn't go well find themselves attached each other chain. Routine plot better examples past. Extremely boring dull. give (four).",negative,negative
source_0_000046,"film opens sizzling scene set Brazil, featuring stunning Anna Persson. Persson, blonde bombshell penchant pleasure, engages steamy outdoor threesome explores her insatiable appetite anal sex, culminating messy facial ejaculation leaves her begging more. real highlight comes she takes two well-endowed gentlemen relentless double penetration her screaming joy viewers reaching tissues. As film progresses, treated variety explicit encounters, each more intense than last. particularly memorable scene involves sultry Dina Jewel, finds herself sunny outdoor setting two well-endowed studs, Mark Davis Mr. Marcus. Jewel, petite brunette body built sin, takes both men furious display double vaginal penetration leaves her breathless begging essence her face, request eagerly fulfill. World Sex Tour delivers promise international eroticism, offering diverse cast range explicit acts will appeal fans hardcore adult entertainment. While production values may not Hollywood-level, raw energy enthusiasm performers shine through, ensuring film remains solid entry adult film canon. fans adult cinema seeking globe-trotting adventure filled explicit encounters, World Sex Tour must-watch. diverse locations enthusiastic performances, delivers satisfying sexual journey. As final note, film not faint heart new adult entertainment. explicit nature content intensity scenes designed cater more seasoned audience seeking no-holds-barred approach sexual cinema.",positive,positive
source_0_000047,"Nikos Foskolos produced two Greek soaps. ""I Lampsi"" first air ""Kalimera Zoi"" followed shortly afterward. can say, except both shows exactly same. If word could describe shows, it's ""monotony"". honestly don't know shows survived years air. even sold overseas video cassette rental. watched only few episodes, not choice might add, only because house mother would watch faithfully. From heard shows started watched everyday whole Greece. Greece's hottest produce time. came Greece, watched old ladies grandmothers believed story lines heart-wrenching. It's not surprising though all truth characters shallow, plot completely hideous, sets all same, only thing achieved telling us Greek police force completely useless. remember storyline particular wife chief-of-police went missing, whole police force searched high low months couldn't find her anywhere, her husbands daughter wanted her dead found her very next day, busy road, heart city! took about months particular storyline end. Thank God shows finally came end. It's beyond lasted well into new millennium.",negative,negative
source_0_000048,"movie massive hit. Reasons. a) Divya Bharti only shirt half movie. Don't worry long shirt. b) Vanishri returning movies. c) A1 songs dance. Including animated characters. c) B Gopal's taut direction. d) Inspired only - Gods must crazy. ya, Venkatesh as hero.",positive,positive
source_0_000049,film gives incredible account insects other little creatures many known home gardeners continually fighting battle against them. here see insect life all intriguing detail wondrous colour. photography superb. It's pity more attention not given sound comes goes unpredictable fashion. There very little commentary must just accept beauty each particular shot. not zoologist enjoy strange world inhabiatnts outnumber humans planet earth. There some sound e.g. flutter wings buzzing bees much film silent as might expect world insects. Music accompanies some scenes adding degree drama. Two slimy snails seen touching fondling each other indicating unmistakably foreplay begun sexual union will follow as choral music climaxes. photographers must rare patience record such intimate detailed incidents. film not without humorous moments. thought caterpillars marching single file absolute gem evoked genuine laughter. Fascinating too Mr. Spider working lightning speed as he wrapped shroud his most unfortunate victim. found even more enjoyable second viewing.,positive,positive
source_0_000050,"Amandla! first documentaries about fight against apartheid South Africa. More importantly, tells story way inspirational, funny, factual humanizes struggle. film most decorated film Sundance 2002, won Audience Award Documentaries Freedom Expression Award. seen many times. Each time try hide tears well up eyes control pride feel knowing people South Africa. difficult capture warmth dignity African people face poverty oppression Amandla! succeeds. Don't let preconceptions Africa last day longer - go see film see world little larger than thought.",positive,positive
source_0_000051,"saw movie couple friends Apollo theater New York while vacation. must say movie 'stayed me' days. incredible. much found premiering back here Los Angeles, after wrangling some tickets went see again family. most gripping, face films I've come across ages. Kudos writers. fact many Oscar nominees invested time film alone, says lot. touched plight kids, brought tears. wasn't alone. There also number laugh out loud scenes, making good mix. must see film every parent. kids get mad parents. Even kids running away from home - back minds will certainly change perspective. Wake up America, taking time write trash about film, heads? can see 'You' simply don't get it. Go - take another look -this time open mind. personally hope film shown every city country. sooner better. Music wise Irene Cara great job. favorite Petula Clark song 'Children Color'. Hear once I'm sure will become classic. Again acting great advise everyone not miss film. PS. should known night there people packed Apollo Theatre while another few hundred turned away..(I learned later) all folks gave standing ovations several times. prompted write not idle comment.",positive,positive
source_0_000052,I'm just about re-watch after many years. Like many reviewers here saw Deadly Earnest's show Sydney around 1970. about time. Like many other reviewers here I've never forgotten it. scared hell out me. remember having nightmares days afterwards. Looking forward watching again.,positive,positive
source_0_000053,"best documentary's ever seen! music simply great brings unusual atmosphere story. characters truly touched me, last scene brought tears eyes. director something tell he can truly tell style movement. goes beyond usual documentary style it's funky dream like fiction scenes takes inside characters way haven't seen elsewhere documentary. remarkable debut young talent hope see more from. director also made some truly sweet commercials norwegian television.",positive,positive
source_0_000054,"very high execpations walking into Barbershop today execpations went way past thought. Barbershop clealry best films I've seen all year. story simple film acutally goes into depth anout important barber shop Black Amercian community any ethnic group matter. Ice Cube gives Image award worthy performance film as Calvin. Cube cool charamistic as Calvin owner shop his supporting cast Sean Patrick Thomas ( counties make name himself), Eve ( great debut), Leonard Howze Mike Ealy all give good performances. Troy Gairty as Issac white barber Cedric Enterainer as elder barber steal all almost every scene in. Lahmard Tate Anthony Anderson along Keith David also well two subplots. Tim Story made great debut Mark Brown's script excellent. Get lined up one.",positive,positive
source_0_000055,"if genteel English woman (Patricia Hodge), living countryside her bedridden hag mother (Judy Campbell), financed running house garden fleecing male hopefuls nest eggs? It's idea echoes Arsenic Old Lace, real-life French serial killer Landru, as well as pinch Miss Haversham. intriguing reference insufficiently explored historical Indian thug, strangled victims scarf homage goddess Kali. brief garbled prologue shows enticing flashes exotic sculpture colonial Raj setting, remains sadly undeveloped. Most playlet mundane banality evil stuff, only tense precision actors speaking elaborate language jolly us along hopes will thrilling climax. They're marvellous ensemble, as other five Time Murder episodes. Expert sets, costumes, camera angles keep glued, build laborious payoff (Michael Jayston) falls bit flat.",neutral,neutral
source_0_000056,"disagree user commented movie above me. might think opinion as Icelander, truly honest opinion from motion picture point view. story probably captures Icelandic viewers born from - even better than rest, since might remember peculiar scenario, poor people country lived US/UK military cabins. story realistically describes life days if little financial capabilities lived Iceland, took big leap time frame regards technology thinking. Actors put quite show, characters such variations almost everyone can relate some them, whether if it's yourself somebody know. don't know why other critic claimed he didn't care whether characters lived died, seems he wasn't really paying attention movie. don't know if it's because it's mainly Icelandic, because another reason (maybe not subtitled), recommend movie anyone likes good movies not typical Hollywood movies. Cheers.",positive,positive
source_0_000057,"Jack Neo's really done time! mean he's managed address something lies heart Singaporean mentality. competitive schooling environment, pervasive fear losing out exam-oriented education system places lot importance paper qualifications. Terrific!",positive,positive
source_0_000058,"Seems like everyone forgot act movie, lead character emotional depth think Kristen Stewart x sad , happy , angry she cant show any emotion. movie set uk police officer looks like he time traveled from 1920s. officers wore puffy leather jackets , story really badly scripted lead character makes lot if stupid mistakes",negative,negative
